Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27SEP24-10000-C,-,152.7,,9.99853,-0.22111,0.09559,-,,0.99987,0.833,11.8,-,0.8365,0.8369,0.838,248.9,6.1
BTC-27SEP24-10000-P,-,393.7,,-0.00889,-0.22111,0.09559,-,,-0.00013,0.0001,-,-,-,-,0.0001,192.92,0.3
BTC-27SEP24-15000-C,-,2.8,,15.00197,-0.17954,0.10134,-,,0.99987,0.77,29.2,-,0.754,0.7554,0.757,204.89,4.1
BTC-27SEP24-15000-P,-,277.6,,-0.00916,-0.17954,0.10134,-,,-0.00013,0.0001,-,-,-,-,0.0001,150.24,0.8
BTC-27SEP24-18000-C,-,2,,17.98661,-0.46147,0.27534,-,,0.99961,0.725,29.4,-,0.705,0.7065,0.7085,185.49,28.3
BTC-27SEP24-18000-P,-,126.7,,-0.02675,-0.46147,0.27534,-,,-0.00039,0.0001,-,-,-,-,0.0002,140.05,0.1
BTC-27SEP24-19000-C,-,3.6,,18.97696,-0.61465,0.37294,-,,0.99946,0.7385,24.5,-,0.689,0.6902,0.692,175.14,28.6
BTC-27SEP24-19000-P,-,202.3,,-0.03713,-0.61465,0.37294,-,,-0.00054,0.0001,-,-,-,0.0001,0.0005,147.78,16
BTC-27SEP24-20000-C,-,79.8,,19.95539,-0.94542,0.57365,-,,0.99913,0.7148,28.5,-,0.6725,0.6739,0.676,171.78,29.5
BTC-27SEP24-20000-P,-,189.4,,-0.05946,-0.94556,0.57376,-,,-0.00087,0.0001,-,-,-,0.0001,0.0006,144.62,16
BTC-27SEP24-21000-C,-,4,,20.93113,-1.29672,0.79363,-,,0.99876,0.7125,29.5,-,0.656,0.6576,0.6595,162.45,28.5
BTC-27SEP24-21000-P,-,118.4,,-0.08484,-1.29663,0.79356,-,,-0.00124,0.0002,30,115.3,0.0001,0.0001,0.0002,123.07,0.1
BTC-27SEP24-22000-C,-,2.3,,21.91582,-1.48089,0.93136,-,,0.99853,0.699,22.5,-,0.64,0.6414,0.643,153.49,28.5
BTC-27SEP24-22000-P,-,140.7,,-0.10092,-1.48079,0.93129,-,,-0.00147,0.0002,77.8,110.49,0.0001,0.0002,0.0002,117.96,0.1
BTC-27SEP24-23000-C,-,2.4,,22.91407,-1.44936,0.95292,-,,0.99849,0.6835,22.5,-,0.624,0.625,0.627,150.83,4.7
BTC-27SEP24-23000-P,0.2,217.9,,-0.103,-1.44936,0.95292,-,,-0.00151,0.0001,102.2,105.9,0.0001,0.0002,0.0003,117.89,10
BTC-27SEP24-24000-C,-,0.5,,23.88621,-1.78548,1.19458,-,,0.99806,0.264,22.5,-,0.6075,0.6088,0.6105,142.66,28.5
BTC-27SEP24-24000-P,-,317.1,,-0.13204,-1.78537,1.19448,-,,-0.00194,0.0002,146.2,101.5,0.0001,0.0002,0.0003,113.04,0.1
BTC-27SEP24-25000-C,-,27.6,,24.86967,-1.93216,1.33494,-,,0.99781,0.6015,27.5,-,0.591,0.5925,0.5945,140.1,4.7
BTC-27SEP24-25000-P,-,282.7,,-0.14888,-1.93216,1.33494,-,,-0.00219,0.0002,156.9,97.29,0.0001,0.0002,0.0003,108.38,0.1
BTC-27SEP24-26000-C,-,9.3,,25.8167,-2.53478,1.76424,-,,0.99702,0.5485,22.5,-,0.575,0.5763,0.578,132.59,28.6
BTC-27SEP24-26000-P,-,182.2,,-0.20307,-2.53464,1.76411,-,,-0.00298,0.0002,10,99.62,0.0002,0.0003,0.0004,107.25,0.1
BTC-27SEP24-27000-C,-,11.4,,26.78558,-2.80898,2.01066,-,,0.99655,0.543,27.5,-,0.5585,0.56,0.562,130.1,4.6
BTC-27SEP24-27000-P,-,119.4,,-0.23448,-2.80912,2.0108,-,,-0.00345,0.0007,10,95.48,0.0002,0.0004,0.0004,102.82,0.1
BTC-27SEP24-28000-C,-,31.2,,27.7431,-3.19998,2.34603,-,,0.99591,0.5525,22.5,-,0.5425,0.5438,0.5455,123.15,28.5
BTC-27SEP24-28000-P,-,171.3,,-0.27818,-3.19983,2.34587,-,,-0.00409,0.0007,10,95.46,0.0003,0.0004,0.0006,103.38,14.1
BTC-27SEP24-29000-C,-,15.8,,28.67734,-3.80275,2.83626,-,,0.99494,0.497,27.5,-,0.526,0.5276,0.5295,120.71,4.3
BTC-27SEP24-29000-P,-,193.4,,-0.34418,-3.80275,2.83626,-,,-0.00506,0.0007,10,94.44,0.0004,0.0005,0.0007,101,10
BTC-27SEP24-30000-C,-,74.7,,29.61475,-4.32087,3.29762,-,,0.994,0.453,28.5,-,0.5095,0.5114,0.5135,118.08,5
BTC-27SEP24-30000-P,-,734.3,,-0.40751,-4.32087,3.29762,-,,-0.006,0.0006,10,92.85,0.0005,0.0006,0.0008,98.44,10
BTC-27SEP24-31000-C,-,22.8,,30.56012,-4.70469,3.69691,-,,0.99317,0.443,27.5,-,0.4935,0.4951,0.497,111.86,28.9
BTC-27SEP24-31000-P,-,175.7,,-0.46288,-4.70469,3.69691,-,,-0.00683,0.0006,10,90.9,0.0006,0.0007,0.0009,95.77,14.8
BTC-27SEP24-32000-C,-,45.4,,31.48468,-5.25811,4.23606,-,,0.99203,0.431,28.5,-,0.477,0.4789,0.481,109.28,27.5
BTC-27SEP24-32000-P,-,131.7,,-0.53963,-5.25791,4.23581,-,,-0.00797,0.0015,10,88.72,0.0007,0.0008,0.001,93.01,14.7
BTC-27SEP24-33000-C,0.1,40.5,,32.40036,-5.82581,4.81717,-,,0.99078,0.4525,27.5,-,0.461,0.4627,0.4645,103.45,24.5
BTC-27SEP24-33000-P,5.5,200.4,,-0.62413,-5.82581,4.81717,-,,-0.00922,0.0009,10,86.36,0.0008,0.0009,0.0012,91.31,30.6
BTC-27SEP24-34000-C,-,95.2,,33.2922,-6.55382,5.54611,-,,0.98916,0.379,27.5,-,0.445,0.4466,0.4485,100.92,28.7
BTC-27SEP24-34000-P,-,138.2,,-0.73303,-6.55382,5.54611,-,,-0.01084,0.0016,17,83.89,0.0009,0.0011,0.0013,88.36,28
BTC-27SEP24-35000-C,0.1,664.1,,34.19224,-7.13469,6.21411,-,,0.98764,0.4195,28.5,-,0.4285,0.4304,0.4325,98.26,28.7
BTC-27SEP24-35000-P,15.5,469.3,,-0.83434,-7.13446,6.21379,-,,-0.01236,0.0011,10,82.43,0.0011,0.0012,0.0014,85.38,26
BTC-27SEP24-36000-C,-,30.7,,35.06334,-7.87608,7.04154,-,,0.98572,0.4505,27.5,-,0.4125,0.4143,0.4165,95.51,28.5
BTC-27SEP24-36000-P,-,324.6,,-0.96337,-7.87608,7.04154,-,,-0.01428,0.0022,14,79.7,0.0012,0.0014,0.0016,83.23,26
BTC-27SEP24-37000-C,0.1,69.2,,35.91681,-8.67399,7.96309,-,,0.98352,0.3875,29.5,-,0.3965,0.3982,0.4005,92.68,28.5
BTC-27SEP24-37000-P,1,219.5,,-1.11065,-8.67399,7.96309,-,,-0.01648,0.0017,16,77.8,0.0014,0.0016,0.0018,80.91,26
BTC-27SEP24-38000-C,-,73.9,,36.75274,-9.50558,8.96898,-,,0.98106,0.3675,28.5,-,0.38,0.3821,0.3845,89.79,28.5
BTC-27SEP24-38000-P,-,303.5,,-1.27546,-9.50558,8.96898,-,,-0.01894,0.002,10,76.43,0.0017,0.0018,0.002,78.48,26
BTC-27SEP24-39000-C,0.1,95.6,,37.55093,-10.50481,10.16818,-,,0.97803,0.354,28.5,45.03,0.364,0.366,0.3685,86.85,28.5
BTC-27SEP24-39000-P,0.4,532,,-1.478,-10.50481,10.16818,-,,-0.02197,0.002,13,74.11,0.0019,0.0021,0.0023,76.54,26
BTC-27SEP24-40000-C,-,779.7,,38.28416,-11.83029,11.69371,-,,0.97406,0.3385,28.5,55.18,0.348,0.3501,0.3525,83.87,28.5
BTC-27SEP24-40000-P,0.5,876.1,,-1.74562,-11.83055,11.69419,-,,-0.02594,0.0026,3.4,72.81,0.0023,0.0025,0.0026,74.41,10
BTC-27SEP24-41000-C,1,64.1,,39.05649,-12.71525,12.97115,-,,0.97062,0.3051,28.5,56.82,0.332,0.3341,0.3365,80.85,29.3
BTC-27SEP24-41000-P,0.3,255.3,,-1.97393,-12.71525,12.97115,-,,-0.02938,0.003,16,70.7,0.0026,0.0028,0.003,72.59,36.8
BTC-27SEP24-42000-C,-,34.7,,39.73528,-14.06351,14.70404,0.00001,,0.96581,0.321,28.5,56.84,0.316,0.3182,0.3205,77.8,28.8
BTC-27SEP24-42000-P,0.7,257.5,,-2.29656,-14.06325,14.70349,0.00001,,-0.03419,0.0032,26,68.88,0.003,0.0032,0.0034,70.55,10
BTC-27SEP24-43000-C,-,26.5,,40.348,-15.60885,16.7022,0.00001,,0.96004,0.2455,24.5,59.23,0.3005,0.3025,0.305,76.17,23.5
BTC-27SEP24-43000-P,7.1,202,,-2.68391,-15.60885,16.7022,0.00001,,-0.03996,0.0038,26.8,67.23,0.0035,0.0038,0.0039,68.72,10
BTC-27SEP24-44000-C,-,339.6,,40.92045,-17.16106,18.83211,0.00001,,0.95364,0.2915,23.5,57.52,0.2845,0.2868,0.2895,74.27,23.5
BTC-27SEP24-44000-P,12.1,386.8,,-3.11288,-17.16082,18.83149,0.00001,,-0.04636,0.0044,23.8,65.68,0.0041,0.0044,0.0045,66.99,10
BTC-27SEP24-45000-C,-,198.8,,41.34097,-19.30952,21.56384,0.00001,,0.94505,0.247,5,59.52,0.2695,0.2713,0.273,69.76,1
BTC-27SEP24-45000-P,477,913.5,,-3.69311,-19.3093,21.56318,0.00001,,-0.05495,0.005,22.8,64.16,0.0048,0.0052,0.0055,66.17,69.2
BTC-27SEP24-46000-C,-,40.1,,41.79122,-20.95076,24.05549,0.00001,,0.93683,0.2365,5,58.61,0.254,0.2558,0.258,68.81,1
BTC-27SEP24-46000-P,3.1,439.9,,-4.24359,-20.95056,24.05479,0.00001,,-0.06317,0.006,34,62.36,0.0055,0.006,0.0065,64.91,71.1
BTC-27SEP24-47000-C,-,114.4,,42.08297,-23.08136,27.08818,0.00001,,0.92632,0.222,5,57.28,0.2385,0.2405,0.2425,66.46,1
BTC-27SEP24-47000-P,3.7,279,,-4.9519,-23.08136,27.08818,0.00001,,-0.07368,0.0075,36.4,61.05,0.0065,0.007,0.0075,63.32,66.7
BTC-27SEP24-48000-C,-,47.8,,42.25531,-25.40172,30.43806,0.00001,,0.91405,0.184,5,56.78,0.2235,0.2254,0.2275,64.88,1
BTC-27SEP24-48000-P,114.2,1957.7,,-5.78099,-25.40157,30.43731,0.00001,,-0.08595,0.008,5,60.45,0.008,0.0083,0.0085,61.45,40.8
BTC-27SEP24-49000-C,13.1,74.4,,42.27378,-27.97875,34.1498,0.00002,,0.89957,0.1985,5,55.76,0.2085,0.2106,0.213,63.86,0.6
BTC-27SEP24-49000-P,40.8,444.8,,-6.76258,-27.97875,34.1498,0.00002,,-0.10043,0.0105,5,59.36,0.0095,0.0098,0.01,60.26,15.8
BTC-27SEP24-50000-C,-,882.3,,42.1507,-30.66437,38.10759,0.00002,,0.88303,0.1745,5,55.21,0.194,0.1961,0.199,63.2,23.5
BTC-27SEP24-50000-P,108.2,1422.3,,-7.8864,-30.66437,38.10759,0.00002,,-0.11697,0.0115,42.6,57.89,0.011,0.0116,0.012,59.5,64.5
BTC-27SEP24-51000-C,-,216.9,,41.87315,-33.42185,42.27051,0.00002,,0.86428,0.1875,5,54.92,0.18,0.1819,0.1845,61.41,25
BTC-27SEP24-51000-P,58.6,411.7,,-9.1647,-33.42185,42.27051,0.00002,,-0.13572,0.014,41.7,56.84,0.013,0.0136,0.014,58.3,28.8
BTC-27SEP24-52000-C,5,159.8,,41.38851,-36.39138,46.69202,0.00002,,0.8426,0.1515,5,54.08,0.166,0.1681,0.171,60.61,24.1
BTC-27SEP24-52000-P,37.7,813,,-10.65042,-36.39132,46.69283,0.00002,,-0.1574,0.016,41,56.06,0.0155,0.0162,0.0165,57.38,20.8
BTC-27SEP24-53000-C,0.6,123.5,,40.70765,-39.42661,51.22083,0.00002,,0.81819,0.1325,5.6,54.02,0.153,0.1548,0.1575,59.38,24.4
BTC-27SEP24-53000-P,75.6,701.9,,-12.33231,-39.42674,51.22002,0.00002,,-0.18181,0.019,40,55.44,0.0185,0.0192,0.0195,56.64,15.9
BTC-27SEP24-54000-C,-,208,,39.84635,-42.36443,55.6997,0.00003,,0.79131,0.12,10,53.38,0.14,0.1419,0.144,57.78,4.2
BTC-27SEP24-54000-P,40.9,818.4,,-14.19372,-42.36443,55.6997,0.00003,,-0.20869,0.0215,80.6,54.89,0.022,0.0226,0.023,55.99,37.5
BTC-27SEP24-55000-C,-,860.4,,38.78143,-45.249,60.0705,0.00003,,0.76169,0.111,10,53.28,0.128,0.1296,0.132,56.86,4.8
BTC-27SEP24-55000-P,21.1,1475.1,,-16.25938,-45.249,60.0705,0.00003,,-0.23831,0.0275,67.9,54.36,0.026,0.0267,0.027,55.38,23.3
BTC-27SEP24-56000-C,12.5,757.8,,37.51994,-48.00906,64.19455,0.00003,,0.72952,0.0971,12,53.11,0.1165,0.118,0.1195,55.98,0.6
BTC-27SEP24-56000-P,306.3,996,,-18.52161,-48.00906,64.19455,0.00003,,-0.27048,0.0305,64.4,54.3,0.031,0.0314,0.032,55.25,41.2
BTC-27SEP24-57000-C,-,373.8,,36.0989,-50.46356,67.90986,0.00003,,0.69537,0.103,11,52.84,0.1055,0.107,0.1085,55.55,0.6
BTC-27SEP24-57000-P,12.4,515.3,,-20.9434,-50.46356,67.90986,0.00003,,-0.30463,0.042,54.8,53.68,0.036,0.0367,0.037,54.59,12.3
BTC-27SEP24-58000-C,0.1,486.9,,34.5279,-52.59926,71.1197,0.00003,,0.65946,0.1,11.6,52.91,0.096,0.0967,0.0985,55.5,13.1
BTC-27SEP24-58000-P,38.3,669.9,,-23.5157,-52.59971,71.11895,0.00003,,-0.34054,0.0425,47.4,53.88,0.0425,0.0427,0.043,54.31,11.8
BTC-27SEP24-59000-C,26,321.5,,32.8249,-54.41618,73.72676,0.00004,,0.6222,0.0875,11.1,53.27,0.0865,0.0873,0.088,54.52,8.6
BTC-27SEP24-59000-P,39.2,731.3,,-26.21887,-54.41612,73.72675,0.00004,,-0.3778,0.049,70.9,53.53,0.049,0.0495,0.05,54.36,33.3
BTC-27SEP24-60000-C,64.7,1896.6,,31.04037,-55.74379,75.65365,0.00004,,0.58426,0.0785,59.1,53.08,0.0775,0.0784,0.079,54.3,8
BTC-27SEP24-60000-P,132.2,1502.2,,-29.00415,-55.74379,75.65365,0.00004,,-0.41574,0.0565,48.8,53.49,0.0565,0.057,0.0575,54.3,27.3
